y1_gpa,y2_gpa,y3_gpa,y4_gpa
2.785877,2.0525130000000003,2.170544,0.06557
1.144557,2.666498,0.267098,2.884737
0.9074059999999999,0.423634,2.613459,0.03095
2.205259,0.52358,3.984345,0.339289
2.8778759999999997,1.287922,3.077589,0.9019940000000001
1.6924259999999998,2.646257,2.295096,3.5004980000000003
3.923057,3.386025,0.410541,1.454305
2.739319,2.213029,2.7993360000000003,2.15984
1.9237279999999999,3.41781,2.6446709999999998,2.2724130000000002
1.56847,1.539351,0.196389,0.901853
1.3727120000000002,1.267152,3.169197,2.2885869999999997
2.916199,1.417059,2.074866,2.643807
1.754289,0.684327,1.703471,1.192982
0.23871199999999998,3.3164510000000003,3.152749,1.674507
1.592177,1.354683,1.646277,1.812356
2.951982,2.20948,1.924105,3.729403
0.729967,2.314206,0.7265149999999999,2.349975
0.701807,2.086132,1.285276,3.7930089999999996
2.126205,0.010752,3.382132,2.224139
2.12731,3.953382,0.7476149999999999,2.002246
2.537604,3.6213660000000005,1.6691639999999999,0.014129
3.3977269999999997,0.830543,3.9561379999999997,1.923556
2.897821,1.169958,0.946399,3.7098199999999997
2.4440939999999998,2.080041,3.667329,0.793463
2.889774,3.6076449999999998,3.6735900000000004,0.20836500000000002
1.291836,3.9345239999999997,0.365185,1.627116
1.447155,1.030168,1.854611,1.489586
0.9130530000000001,2.257436,2.008865,3.428612
1.174856,3.227875,1.2546760000000001,0.10644400000000001
2.523904,1.57748,0.189358,3.680597
